exhibit,file_number,exhibit_type,court_clause_length,file_name,period,filling_date,fiscal_year_end,address_business,irs_number,filename,sic,company_name,law_clause_length,film_number,filesize,public_document_count,accession_number,file_url,act,company_cik
8-K,001-16789,EX-10.2,191,d948919dex102.htm,6/18/2015,6/24/2015,1231,51 SAWYER ROAD SUITE 200 WALTHAM MA 02453 7816473900,43565120,1145460..000119312515233453..d948919dex102.htm,2835,ALERE INC.,36,15949626,242178,5,0001193125-15-233453,https://www.sec.gov/Archives/edgar/data/1145460/000119312515233453/d948919dex102.htm,34,1145460
8-K,001-16789,EX-10.1,0,d33523dex101.htm,9/30/2015,10/6/2015,1231,51 SAWYER ROAD SUITE 200 WALTHAM MA 02453 7816473900,43565120,1145460..000119312515338530..d33523dex101.htm,2835,ALERE INC.,202,151146470,49051,2,0001193125-15-338530,https://www.sec.gov/Archives/edgar/data/1145460/000119312515338530/d33523dex101.htm,34,1145460
10-K,000-33021,EX-10.1,0,g81556exv10w1.txt,12/31/2002,3/28/2003,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000095014403004024..g81556exv10w1.txt,6021,GREER BANCSHARES INC,0,3624483,18140,7,0000950144-03-004024,https://www.sec.gov/Archives/edgar/data/1145547/000095014403004024/g81556exv10w1.txt,34,1145547
10-K,000-33021,EX-10.2,0,g81556exv10w2.txt,12/31/2002,3/28/2003,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000095014403004024..g81556exv10w2.txt,6021,GREER BANCSHARES INC,0,3624483,21561,7,0000950144-03-004024,https://www.sec.gov/Archives/edgar/data/1145547/000095014403004024/g81556exv10w2.txt,34,1145547
10-K,000-33021,EX-10.3,0,g81556exv10w3.txt,12/31/2002,3/28/2003,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000095014403004024..g81556exv10w3.txt,6021,GREER BANCSHARES INC,0,3624483,25046,7,0000950144-03-004024,https://www.sec.gov/Archives/edgar/data/1145547/000095014403004024/g81556exv10w3.txt,34,1145547
10-K,000-33021,EX-10.4,0,g81556exv10w4.txt,12/31/2002,3/28/2003,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000095014403004024..g81556exv10w4.txt,6021,GREER BANCSHARES INC,46,3624483,31781,7,0000950144-03-004024,https://www.sec.gov/Archives/edgar/data/1145547/000095014403004024/g81556exv10w4.txt,34,1145547
8-K,000-33021,EX-10.1,0,d30319_ex10-1.htm,3/20/2013,3/26/2013,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000114544313000839..d30319_ex10-1.htm,6021,GREER BANCSHARES INC,0,13715708,16207,3,0001145443-13-000839,https://www.sec.gov/Archives/edgar/data/1145547/000114544313000839/d30319_ex10-1.htm,34,1145547
8-K,000-33021,EX-10.1,0,d31437_ex10-1.htm,6/11/2014,6/11/2014,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000114544314000879..d31437_ex10-1.htm,6021,GREER BANCSHARES INC,34,14903880,17561,3,0001145443-14-000879,https://www.sec.gov/Archives/edgar/data/1145547/000114544314000879/d31437_ex10-1.htm,34,1145547
8-K,000-33021,EX-10.2,61,d31437_ex10-2.htm,6/11/2014,6/11/2014,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000114544314000879..d31437_ex10-2.htm,6021,GREER BANCSHARES INC,69,14903880,92887,3,0001145443-14-000879,https://www.sec.gov/Archives/edgar/data/1145547/000114544314000879/d31437_ex10-2.htm,34,1145547
8-K,000-33021,EX-10.1,0,d31559_ex10-1.htm,7/23/2014,7/28/2014,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000114544314000960..d31559_ex10-1.htm,6021,GREER BANCSHARES INC,34,14996596,16032,4,0001145443-14-000960,https://www.sec.gov/Archives/edgar/data/1145547/000114544314000960/d31559_ex10-1.htm,34,1145547
8-K,000-33021,EX-10.2,61,d31559_ex10-2.htm,7/23/2014,7/28/2014,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000114544314000960..d31559_ex10-2.htm,6021,GREER BANCSHARES INC,69,14996596,91568,4,0001145443-14-000960,https://www.sec.gov/Archives/edgar/data/1145547/000114544314000960/d31559_ex10-2.htm,34,1145547
8-K,000-33021,EX-10.1,0,d31677ex10-1.htm,9/5/2014,9/19/2014,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000114544314001178..d31677ex10-1.htm,6021,GREER BANCSHARES INC,59,141111626,59778,3,0001145443-14-001178,https://www.sec.gov/Archives/edgar/data/1145547/000114544314001178/d31677ex10-1.htm,34,1145547
8-K,000-33021,EX-10.1,0,dex101.htm,7/13/2004,3/29/2005,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312505063503..dex101.htm,6021,GREER BANCSHARES INC,34,5710280,81891,2,0001193125-05-063503,https://www.sec.gov/Archives/edgar/data/1145547/000119312505063503/dex101.htm,34,1145547
8-K,000-33021,EX-10.1,0,dex101.htm,7/26/2005,8/1/2005,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312505153856..dex101.htm,6021,GREER BANCSHARES INC,38,5989050,106747,4,0001193125-05-153856,https://www.sec.gov/Archives/edgar/data/1145547/000119312505153856/dex101.htm,34,1145547
8-K,000-33021,EX-10.2,0,dex102.htm,7/26/2005,8/1/2005,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312505153856..dex102.htm,6021,GREER BANCSHARES INC,0,5989050,6095,4,0001193125-05-153856,https://www.sec.gov/Archives/edgar/data/1145547/000119312505153856/dex102.htm,34,1145547
10-Q,000-33021,EX-10.1,0,dex101.htm,6/30/2005,8/15/2005,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312505168521..dex101.htm,6021,GREER BANCSHARES INC,34,51026512,193881,5,0001193125-05-168521,https://www.sec.gov/Archives/edgar/data/1145547/000119312505168521/dex101.htm,34,1145547
8-K,000-33021,EX-10.1,0,dex101.htm,12/28/2006,1/4/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507001405..dex101.htm,6021,GREER BANCSHARES INC,56,7508947,423139,5,0001193125-07-001405,https://www.sec.gov/Archives/edgar/data/1145547/000119312507001405/dex101.htm,34,1145547
8-K,000-33021,EX-10.2,114,dex102.htm,12/28/2006,1/4/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507001405..dex102.htm,6021,GREER BANCSHARES INC,47,7508947,98452,5,0001193125-07-001405,https://www.sec.gov/Archives/edgar/data/1145547/000119312507001405/dex102.htm,34,1145547
8-K,000-33021,EX-10.3,264,dex103.htm,12/28/2006,1/4/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507001405..dex103.htm,6021,GREER BANCSHARES INC,37,7508947,404240,5,0001193125-07-001405,https://www.sec.gov/Archives/edgar/data/1145547/000119312507001405/dex103.htm,34,1145547
8-K,000-33021,EX-10.4,262,dex104.htm,12/28/2006,1/4/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507001405..dex104.htm,6021,GREER BANCSHARES INC,65,7508947,202618,5,0001193125-07-001405,https://www.sec.gov/Archives/edgar/data/1145547/000119312507001405/dex104.htm,34,1145547
10-K,000-33021,EX-10.10,0,dex1010.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex1010.htm,6021,GREER BANCSHARES INC,0,7737685,8620,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex1010.htm,34,1145547
10-K,000-33021,EX-10.11,0,dex1011.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex1011.htm,6021,GREER BANCSHARES INC,34,7737685,112023,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex1011.htm,34,1145547
10-K,000-33021,EX-10.12,0,dex1012.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex1012.htm,6021,GREER BANCSHARES INC,34,7737685,69504,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex1012.htm,34,1145547
10-K,000-33021,EX-10.14,0,dex1014.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex1014.htm,6021,GREER BANCSHARES INC,0,7737685,5951,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex1014.htm,34,1145547
10-K,000-33021,EX-10.15,0,dex1015.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex1015.htm,6021,GREER BANCSHARES INC,34,7737685,68878,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex1015.htm,34,1145547
10-K,000-33021,EX-10.18,0,dex1018.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex1018.htm,6021,GREER BANCSHARES INC,38,7737685,48995,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex1018.htm,34,1145547
10-K,000-33021,EX-10.4,0,dex104.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex104.htm,6021,GREER BANCSHARES INC,48,7737685,84412,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex104.htm,34,1145547
10-K,000-33021,EX-10.5,0,dex105.htm,12/31/2006,4/2/2007,1231,1111 W POINSETT ST GREER SC 29650 8648772000,571126200,1145547..000119312507071913..dex105.htm,6021,GREER BANCSHARES INC,0,7737685,11398,28,0001193125-07-071913,https://www.sec.gov/Archives/edgar/data/1145547/000119312507071913/dex105.htm,34,1145547
